Name,Address,City,Neighborhood,Latitude,Longitude,Specialty,Instagram,January_Notes
Farini (Carlon),"Calle dello Spezier 6399, Sestiere San Marco, 30124 Venezia VE, Italy",Venice,San Marco,,,"espresso, filter",,Late closing; verify if any mid-week winter hours adjustments are posted.
Farini (Aliani),"Campo San Luca 4654, Sestiere San Marco, 30124 Venezia VE, Italy",Venice,San Marco,,,"espresso, filter",,Open until midnight per listing; winter hours can change—confirm day-of.
ORSONERO COFFEE,"Via Broggi 15, 20129 Milano MI, Italy",Milan,Porta Venezia,,,"espresso, filter",,Closed Mondays per listing; plan Tue–Sun. Winter hours generally stable—verify for any post-holiday 
Loste Cafe,"Via Francesco Guicciardini 3, 20129 Milano MI, Italy",Milan,Porta Venezia,,,"espresso, filter",,Daily morning-to-lunch hours; great for earlier coffee breaks.
Serra di quartiere,"Via Melzo 3, 20129 Milano MI, Italy",Milan,Porta Venezia,,,"espresso, filter",,Closed Sundays; morning-to-lunch profile suits breakfast + coffee.
NOWHERE - FUTURE COFFEE ROASTERS,"Via Vetere 14, 20123 Milano MI, Italy",Milan,Centro Storico / Sant'Ambrogio,,,"espresso, filter",,Closed Mondays; strong third-wave roaster-led option. Check for any January roasting/training closur
Bugan Coffee Lab,"Via Vigevano 15, 20144 Milano MI, Italy",Milan,Navigli (Porta Genova),,,"espresso, filter",,Open daily per listing; roastery + research/education focus makes it a core stop for coffee nerds.
Cafezal Specialty Coffee - Porta Venezia,"Via San Gregorio 29A, 20124 Milano MI, Italy",Milan,Central Station / Porta Venezia,45.4796231,9.2040814,"espresso, filter",@cafezalmilano,Weekend hours available; verify for any winter/holiday modifications.
Mascherpa the original tiramisù boutique + specialty coffee,"Via Edmondo de Amicis 7, 20123 Milano MI, Italy",Milan,Sant'Ambrogio / Ticinese,,,"espresso, filter",,Long hours most days; good later-afternoon option in winter.
Bgood,"Via Antonio Tantardini 8, 20136 Milano MI, Italy",Milan,Porta Romana / Bocconi,,,espresso,,Shorter Sunday hours; confirm if you’re doing a Sunday Navigli walk.
June Collective,"Via Varesina 162, 20156 Milano MI, Italy",Milan,Certosa / Varesina,,,"espresso, filter",,Earlier closing time; best as a morning/early-lunch stop.
Loste Cafe (Varesina),"Via Varesina 204, 20156 Milano MI, Italy",Milan,Certosa / Varesina,,,espresso,,Daily early hours; consider pairing with a bakery-style breakfast.
